Name	Latitude	Longitude	Elevation
ALBANY_NY_US	42.6525793	-73.7562317	43m
ALBUQUERQUE_INTL_NM_US	35.1850422	-106.5974515	1552m
AMARILLO_TX_US	35.2219971	-101.8312969	1118m
ANCHORAGE_AK_US	61.2180556	-149.9002778	33m
ANNETTE_AK_US	55.0616667	-131.5416667	12m
ATLANTA_GA_US	33.7489954	-84.3879824	320m
ATLANTIC_CITY_INTL_NJ_US	39.4551142	-74.5708448	18m
BALTIMORE_HARBOR_MD_US	39.2860553	-76.6074721	1m
BARROW_AK_US	71.2979506	-156.7684445	3m
BETHEL_AK_US	60.7922222	-161.7558333	1m
BIG_DELTA_AK_US	64.1525	-145.8422222	303m
BILLINGS_MT_US	45.7832856	-108.5006904	952m
BIRMINGHAM_AL_US	33.5206608	-86.80249	186m
BISMARCK_ND_US	46.8083268	-100.7837392	516m
BOISE_ID_US	43.6187102	-116.2146068	817m
BOSTON_MA_US	42.3600825	-71.0588801	10m
BROWNSVILLE_TX_US	25.9017472	-97.4974838	11m
BUFFALO_NY_US	42.8864468	-78.8783689	183m
BURLINGTON_VT_US	44.4758825	-73.212072	60m
BURNS_ID_US	48.6260457	-116.3949203	566m
CARIBOU_ME_US	46.8639995	-67.9980365	122m
CEDAR_CITY_UT_US	37.6774769	-113.0618931	1783m
CHARLESTON_SC_US	32.7764749	-79.9310512	4m
CHARLESTON_WV_US	38.3498195	-81.6326234	182m
CHARLOTTE_NC_US	35.2270869	-80.8431267	233m
CHEYENNE_WY_US	41.1399814	-104.8202462	1856m
CHICAGO_IL_US	41.8781136	-87.6297982	181m
CLEVELAND_OH_US	41.49932	-81.6943605	200m
COLD_BAY_AK_US	55.204498	-162.7183867	20m
COLORADO_SPRINGS_CO_US	38.8338816	-104.8213634	1832m
CORPUS_CHRISTI_TX_US	27.8005828	-97.396381	2m
DALLAS-FORT_WORTH_TX_US	32.7554883	-97.3307658	189m
DAVENPORT_IA_US	41.5236437	-90.5776367	180m
DENVER_CO_US	39.7392358	-104.990251	1597m
DES_MOINES_IA_US	41.6005448	-93.6091064	266m
DETROIT_MI_US	42.331427	-83.0457538	182m
DULUTH_MN_US	46.7866719	-92.1004852	201m
DURANGO_DG_MX	37.270104	-107.880626	1991m
ELKO_NV_US	40.8324211	-115.7631232	1544m
ENSENADA_BJ_MX	31.8667427	-116.5963713	36m
EUREKA_CA_US	40.8020712	-124.1636729	15m
FAIRBANKS_AK_US	64.8377778	-147.7163889	136m
FLAGSTAFF_AZ_US	35.1982836	-111.651302	2104m
FORT_WAYNE_IN_US	41.079273	-85.1393513	234m
FORT_YUKON_AK_US	66.56735	-145.2513402	135m
GLASGOW_MT_US	48.1969637	-106.6367127	637m
GRAND_JUNCTION_CO_US	39.0638705	-108.5506486	1400m
GRAND_RAPIDS_MI_US	42.9633599	-85.6680863	194m
GREAT_FALLS_MT_US	47.4941836	-111.2833449	1039m
HANFORD_CA_US	36.3274502	-119.6456844	76m
HOMER_AK_US	59.6425	-151.5483333	29m
HONOLULU_HI_US	21.3069444	-157.8583333	5m
HOUSTON_TX_US	29.7604267	-95.3698028	15m
HUNTSVILLE_AL_US	34.7303688	-86.5861037	195m
INDIANAPOLIS_IN_US	39.768403	-86.158068	223m
ISLIP_NY_US	40.7298207	-73.2103934	4m
JACKSONVILLE_FL_US	30.3321838	-81.655651	5m
JACKSON_MS_US	30.4278212	-88.556531	1m
JUNEAU_AK_US	58.3019444	-134.4197222	10m
KANSAS_CITY_MO_US	39.0997265	-94.5785667	274m
KETCHIKAN_AK_US	55.3422222	-131.6461111	11m
KEY_WEST_FL_US	24.5550593	-81.7799871	1m
KING_SALMON_AK_US	58.6883251	-156.661351	22m
KNOXVILLE_TN_US	35.9606384	-83.9207392	276m
KODIAK_AK_US	57.79	-152.4072222	14m
KOTZEBUE_AK_US	66.8983333	-162.5966666	6m
LAKE_CHARLES_LA_US	30.2265949	-93.2173758	4m
LAS_VEGAS_NV_US	36.1699412	-115.1398296	611m
LEXINGTON_KY_US	38.0405837	-84.5037164	291m
LINCOLN_NE_US	40.8257625	-96.6851982	354m
LITTLE_ROCK_AR_US	34.7464809	-92.2895948	102m
LOS_ANGELES_CA_US	34.0522342	-118.2436849	87m
LOUISVILLE_KY_US	38.2526647	-85.7584557	141m
LUBBOCK_TX_US	33.6753624	-101.7979613	996m
MADISON_WI_US	43.0730517	-89.4012302	266m
MCGRATH_AK_US	62.9532043	-155.5959922	101m
MEDFORD_OR_US	42.3265152	-122.8755949	421m
MEMPHIS_TN_US	35.1495343	-90.0489801	79m
MIAMI_FL_US	25.7616798	-80.1917902	1m
MIDLAND_TX_US	31.8781368	-101.9804613	825m
MILWAUKEE_WI_US	43.0389025	-87.9064736	187m
MINNEAPOLIS_MN_US	44.977753	-93.2650108	255m
MISSOULA_MT_US	46.8787176	-113.996586	979m
MOBILE_AL_US	30.6953657	-88.0398912	1m
NASHVILLE_TN_US	36.1626638	-86.7816016	153m
NEW_ORLEANS_LA_US	29.9510658	-90.0715323	1m
NEW_YORK_CITY_NY_US	40.7127837	-74.0059413	10m
